tax	barcode01	barcode02	barcode03	barcode04	barcode05	barcode06	barcode07	barcode08	barcode09	barcode10	barcode11	barcode12	barcode13	barcode14	barcode15	barcode16	barcode17	barcode18	barcode19	barcode20	barcode21	barcode22	barcode23	barcode24	unclassified	total
Bacteria;Bacteria_none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Synechococcales;Synechococcales_Incertae_sedis;Cymatolege	3	71	828	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	931
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Intrasporangiaceae;Intrasporangium	5	1	882	7	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	931
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Catellicoccus	0	4	901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	931
Bacteria;Bacteria_none;Actinobacteria;Thermoleophilia;Miltoncostaeales;Miltoncostaeaceae;Miltoncostaea	116	91	362	273	3	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	925
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Caballeronia	328	3	178	242	10	0	0	3	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	925
Bacteria;Bacteria_none;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Phragmitibacter	168	61	471	108	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	919
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiales_Incertae_sedis;Thiohalobacter	8	812	13	39	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	919
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_Incertae_sedis;Piscinibacterium	192	0	381	217	13	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	918
Bacteria;Bacteria_none;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae;Cytophaga	119	2	340	203	8	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	918
Bacteria;Bacteria_none;Bacteroidota;Saprospiria;Saprospirales;Haliscomenobacteraceae;Phaeodactylibacter	41	584	143	16	2	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	914
Bacteria;Bacteria_none;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Telmatobacter	186	0	213	459	5	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	914
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Thiovulaceae;Sulfuricurvum	1	853	28	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	907
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae;Methylosinus	40	3	132	650	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	905
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Sulfuricellaceae;Sulfuricella	54	1	191	108	2	0	0	0	0	506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	887
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Hoeflea	2	802	60	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	886
Bacteria;Bacteria_none;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Chitinophaga	183	92	220	214	4	0	0	1	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	880
Bacteria;Bacteria_none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Nostocales;Nostocaceae;Cronbergia	5	77	765	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	876
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia	0	5	311	386	8	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	870
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Chromatiales;Thioprofundaceae;Thioprofundum	33	680	32	84	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	868
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Cavicella	7	5	445	34	2	0	0	0	0	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	858
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium	162	16	329	262	2	0	0	1	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	854
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Tahibacter	123	0	389	24	3	0	0	0	0	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	849
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Pirellulales;Lacipirellulaceae;Pirellulimonas	110	97	31	300	10	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	849
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiales_Incertae_sedis;Vineibacter	229	5	287	166	2	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	848
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Aminobacter	41	11	227	264	9	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	844
Bacteria;Bacteria_none;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Jahnella	38	12	128	235	7	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	843
