tax	barcode01	barcode02	barcode03	barcode04	barcode05	barcode06	barcode07	barcode08	barcode09	barcode10	barcode11	barcode12	barcode13	barcode14	barcode15	barcode16	barcode17	barcode18	barcode19	barcode20	barcode21	barcode22	barcode23	barcode24	unclassified	total
Bacteria;Bacteria_none;Acidobacteria;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Vicinamibacter	28213	345	21467	62888	664	0	0	1	1	23479	0	0	1	0	0	1	0	0	0	0	2	0	0	0	3543	140605
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;Pseudolabrys	6073	52	36614	87607	168	0	0	0	0	1646	0	0	0	1	0	0	0	0	1	2	1	0	0	0	3789	135954
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium	7734	31	16041	44558	302	0	0	6	0	6639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2094	77405
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Rhodoplanes	8797	92	8632	43361	269	0	0	1	0	1264	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1666	64084
Bacteria;Bacteria_none;Actinobacteria;Rubrobacteria;Gaiellales;Gaiellaceae;Gaiella	7951	31	13659	31858	85	0	0	2	0	1043	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1631	56263
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Planococcaceae;Sporosarcina	39851	113	1628	2193	199	0	0	3	0	5357	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1170	50516
Bacteria;Bacteria_none;Proteobacteria;Deltaproteobacteria;Myxococcales;Kofleriaceae;Haliangium	9114	1011	14892	11515	407	0	0	8	3	9403	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1093	47447
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Methylothermalis	4799	75	4695	30520	158	0	0	0	0	1257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1309	42813
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Thiovulaceae;Sulfurimonas	2	33300	5	8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	637	33954
Bacteria;Bacteria_none;Acidobacteria;Acidobacteriia;Bryobacterales;Bryobacteraceae;Paludibaculum	4293	325	16358	4425	99	0	0	3	0	4746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	770	31019
Bacteria;Bacteria_none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Nostocales;Cyanomargaritaceae;Cyanomargarita	390	16302	12502	56	1	0	0	0	0	102	0	0	0	0	0	0	0	1	0	0	0	0	0	0	428	29782
Bacteria;Bacteria_none;Verrucomicrobia;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae;Chthoniobacter	2481	3	16543	8623	8	0	0	0	0	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	727	28663
Bacteria;Bacteria_none;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter	1806	1812	15431	7306	47	0	0	0	0	915	0	0	0	0	1	0	0	1	0	0	1	0	1	0	737	28058
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium	2766	621	11471	8453	188	0	0	0	1	2828	0	0	0	0	0	0	0	0	0	0	1	0	0	0	724	27053
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	84	165	19168	2637	25	0	0	0	1	4133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	812	27025
Bacteria;Bacteria_none;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas	4309	132	7919	12446	71	0	0	1	0	1366	0	0	3	0	0	0	0	0	0	0	0	0	0	0	752	26999
Bacteria;Bacteria_none;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Alloacidobacterium	1563	3	20015	4093	2	0	0	3	0	25	0	0	0	0	0	0	1	0	0	0	0	0	0	0	490	26195
Bacteria;Bacteria_none;Proteobacteria;Deltaproteobacteria;Myxococcales;Sandaracinaceae;Sandaracinus	1969	538	3541	12953	94	0	0	1	1	5904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668	25669
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus	11284	253	6236	6122	157	0	0	5	2	752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	666	25477
Bacteria;Bacteria_none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Chroococcidiopsidales;Sinocapsaceae;Sinocapsa	372	14560	9637	76	2	0	0	1	1	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	542	25373
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium	1749	123	8340	10938	281	0	0	0	0	2082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	645	24158
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Methyloceanibacter	2022	761	1881	16674	108	0	0	0	0	774	0	0	1	0	0	0	0	0	0	0	0	0	0	0	494	22715
Bacteria;Bacteria_none;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Terrimonas	4568	11	10463	4419	178	0	1	1	1	2272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	574	22488
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Usitatibacteraceae;Usitatibacter	3947	20	4409	1757	173	0	0	0	0	10417	0	0	0	0	0	0	0	0	0	0	2	0	0	0	536	21261
Bacteria;Bacteria_none;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Occallatibacter	3980	16	10122	6144	169	0	0	2	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456	21080
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Niallia	3618	283	11070	4766	158	0	0	1	0	109	0	0	0	1	0	0	0	0	0	0	1	0	0	0	528	20535
Bacteria;Bacteria_none;Acidobacteria;Acidobacteriia;Bryobacterales;Bryobacteraceae;Bryobacter	3639	65	10423	4137	57	0	0	8	1	1445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	575	20350
Bacteria;Bacteria_none;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira	3964	260	490	12708	135	0	0	0	0	2030	0	1	0	0	0	0	0	0	0	0	0	0	0	0	561	20149
Bacteria;Bacteria_none;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas	1584	6223	5967	5408	33	0	0	0	1	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	509	20069
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Amaricoccus	1260	3078	2733	6597	181	0	0	0	0	5540	0	1	0	0	0	0	0	0	0	0	0	0	0	0	519	19909
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas	14	6	18502	8	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	586	19124
Bacteria;Bacteria_none;Acidobacteria;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Luteitalea	2751	356	3612	5534	89	0	0	0	0	5838	0	0	0	1	0	0	0	0	0	0	1	0	0	0	631	18813
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas	6	31	15874	35	0	0	0	0	0	2213	0	0	0	0	0	0	0	0	0	0	3	0	0	0	523	18685
Bacteria;Bacteria_none;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Syntrophotaleaceae;Syntrophotalea	885	5110	7676	3392	33	0	0	0	0	717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365	18178
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiales_Incertae_sedis;Pseudorhodoplanes	2952	7	2205	8604	233	0	0	1	0	3508	0	0	0	0	0	1	0	0	0	0	0	0	0	0	521	18032
Bacteria;Bacteria_none;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Ferruginibacter	3156	13	4379	5570	129	0	1	2	3	4157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	449	17859
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Sulfurovaceae;Sulfurovum	4	17453	6	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	17820
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_Incertae_sedis;Rhizobacter	486	9	9827	1529	44	0	1	0	3	4893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	486	17278
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Reyranellaceae;Reyranella	1310	2	4290	8833	92	0	0	2	0	2101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	492	17122
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella	874	331	6352	6279	71	0	0	1	1	1875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	16215
Bacteria;Bacteria_none;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geotalea	505	361	11250	3339	22	0	0	0	1	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448	16204
Bacteria;Bacteria_none;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobia subdivision 3;Limisphaera	1456	54	11753	1851	5	0	0	0	0	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381	15928
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Gemmatales;Gemmataceae;Fimbriiglobus	3002	20	2152	4959	184	0	0	1	0	4824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	411	15553
Bacteria;Bacteria_none;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Terriglobus	1493	46	9294	3474	31	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	385	14832
Bacteria;Bacteria_none;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfosarcina	109	13620	476	212	4	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	14765
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Isosphaerales;Isosphaeraceae;Singulisphaera	2140	28	2800	7587	67	0	0	5	2	1657	0	0	0	0	0	0	0	0	0	0	0	0	0	1	456	14743
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia	2209	20	5131	3520	99	0	0	1	0	3058	0	0	0	0	0	1	0	0	0	0	0	0	0	0	416	14455
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Schlegelella	2678	61	3314	3450	132	0	0	5	1	3949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	13967
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Rudaea	13	2	12385	1162	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	319	13884
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga	4367	30	396	7724	152	0	0	0	0	614	0	0	0	0	1	0	0	0	0	0	1	0	0	0	405	13690
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Arenimonas	860	17	7353	1648	46	0	0	2	0	3320	0	0	1	0	0	0	0	0	0	0	0	0	0	0	371	13618
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium	174	81	7504	2704	41	0	0	0	4	2487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	13372
Bacteria;Bacteria_none;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatirosa	1655	23	4095	6649	40	0	0	0	0	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387	13228
Bacteria;Bacteria_none;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Citrifermentans	1314	780	8079	2139	25	0	0	0	0	498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	13172
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax	133	101	11159	102	5	0	0	0	0	697	0	0	1	0	0	0	0	0	0	0	0	0	0	0	361	12559
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax	966	10	2205	1668	106	0	0	0	0	7101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	12369
Bacteria;Bacteria_none;Proteobacteria;Deltaproteobacteria;Myxococcales;Anaeromyxobacteraceae;Anaeromyxobacter	1181	277	7449	2550	19	0	0	0	0	403	0	0	1	0	0	0	0	0	0	0	0	0	0	0	292	12172
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Gemmatales;Gemmataceae;Urbifossiella	1681	7	1642	2791	137	0	0	1	0	5529	0	0	0	0	0	0	0	0	0	0	1	0	0	0	310	12099
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Caenimonas	1385	7	6176	1564	113	0	0	1	3	2563	0	0	0	0	0	0	0	0	0	0	0	0	1	0	284	12097
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Neobacillus	1528	28	6149	3279	46	0	0	0	1	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	11481
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter	1786	15	5156	1976	59	1	0	3	3	1881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	11215
Bacteria;Bacteria_none;Proteobacteria;Deltaproteobacteria;Syntrophales;Syntrophaceae;Desulfobacca	121	179	9904	402	2	0	0	0	0	44	0	0	0	1	0	0	0	0	0	0	0	0	0	0	267	10920
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Tabrizicola	11	8	9791	169	3	0	0	0	0	601	0	0	0	0	0	0	0	0	0	0	2	0	0	0	296	10881
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira	1548	150	1733	4636	133	0	0	1	0	2286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	10779
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Methyloversatilis	1560	9	4480	1732	65	0	0	1	0	2637	0	0	0	0	0	0	0	0	0	0	1	0	0	0	233	10718
Bacteria;Bacteria_none;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter	2941	27	1512	5089	46	0	0	2	0	742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	10665
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Marinilabiliales;Prolixibacteraceae;Puteibacter	6	10196	186	22	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	10620
Bacteria;Bacteria_none;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavitalea	2272	19	2394	2197	146	0	0	1	4	3025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	10362
Bacteria;Bacteria_none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Nostocales;Calotrichaceae;Macrochaete	88	4046	5974	16	0	0	0	0	0	47	0	0	0	1	0	0	0	0	0	0	0	0	0	0	188	10360
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Nevskiales;Steroidobacteraceae;Povalibacter	2154	110	1982	3764	58	0	0	0	0	1885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	10215
Bacteria;Bacteria_none;Bacteroidota;Saprospiria;Saprospirales;Haliscomenobacteraceae;Haliscomenobacter	529	213	4543	342	13	0	0	0	1	4230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	10034
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga	4	868	8581	17	1	0	0	0	0	282	0	1	0	0	0	0	0	0	0	0	0	0	0	0	272	10026
Bacteria;Bacteria_none;Planctomycetota;Phycisphaerae;Tepidisphaerales;Tepidisphaeraceae;Tepidisphaera	1018	16	965	7046	44	0	0	1	0	378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	9756
Bacteria;Bacteria_none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Pseudanabaenales;Prochlorotrichaceae;Nodosilinea	146	103	9005	74	7	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	9684
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia	640	367	5576	2047	56	0	0	4	9	691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	9644
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Stellaceae;Stella	467	20	3442	5077	11	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	9406
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Gemmatales;Gemmataceae;Gemmata	1599	21	1474	2624	115	0	0	0	0	3281	1	0	0	0	0	0	0	1	0	0	0	0	0	0	272	9388
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Isosphaerales;Isosphaeraceae;Aquisphaera	1397	159	2972	3259	38	0	0	4	0	1121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	9217
Bacteria;Bacteria_none;Bacteroidota;Cytophagia;Cytophagales;Fulvivirgaceae;Fulvivirga	56	8531	86	54	3	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	9186
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_Incertae_sedis;Thiobacter	2887	124	1704	870	93	0	0	0	0	3007	0	0	0	0	0	0	0	0	0	0	0	0	0	1	200	8886
Bacteria;Bacteria_none;Proteobacteria;Deltaproteobacteria;Myxococcales;Labilitrichaceae;Labilithrix	974	6	3261	3613	15	0	0	0	1	753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	8886
Bacteria;Bacteria_none;Acidobacteria;Blastocatellia;Blastocatellales;Pyrinomonadaceae;Brevitalea	3053	53	1356	3819	27	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	8785
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_Incertae_sedis;Aquabacterium	353	13	3797	251	52	0	0	1	0	4044	0	0	0	1	0	0	0	0	0	0	0	0	0	0	241	8753
Bacteria;Bacteria_none;Proteobacteria;Deltaproteobacteria;Syntrophales;Syntrophaceae;Desulfomonile	592	967	4568	1874	19	0	0	0	0	473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	8708
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Peribacillus	2524	38	2483	2999	57	0	0	2	2	70	0	0	0	1	0	0	0	0	0	0	0	0	0	1	216	8393
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Marinilabiliales;Prolixibacteraceae;Maribellus	0	7882	326	1	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	8373
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas	17	1	7595	346	16	0	0	0	0	109	0	0	0	0	1	0	0	0	0	0	0	0	0	1	231	8317
Bacteria;Bacteria_none;Acidobacteria;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Thermoanaerobaculum	725	4662	763	1714	22	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	8293
Bacteria;Bacteria_none;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Chondromyces	528	683	1822	3170	23	0	0	1	2	1781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	8246
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium	365	53	4432	2229	51	0	0	0	0	838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	8235
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia	2244	8	2468	1196	53	0	0	2	0	1991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	8173
Bacteria;Bacteria_none;Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter	1455	47	1616	4450	30	0	0	2	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	8087
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Geminicoccaceae;Arboricoccus	1173	762	728	4595	57	0	0	0	0	525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	8061
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Thermomonas	8	8	5466	509	4	0	0	0	0	1841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	8052
Bacteria;Bacteria_none;Nitrospirae;Thermodesulfovibrionia;Thermodesulfovibrionales;Thermodesulfovibrionaceae;Thermodesulfovibrio	365	38	5193	2248	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	8052
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_Incertae_sedis;Gammaproteobacteria_Incertae_sedis_Incertae_sedis;Acidibacter	1664	6	695	3284	84	0	0	2	0	2080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	8051
Bacteria;Bacteria_none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Nostocales;Calotrichaceae;Dulcicalothrix	96	4997	2639	22	2	0	0	0	0	68	0	0	1	0	0	0	0	0	0	0	0	0	0	0	209	8034
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	3635	137	2043	1435	39	0	0	0	8	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	7826
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Pedomicrobium	4315	76	521	2013	42	0	0	0	0	633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	7777
Bacteria;Bacteria_none;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Roseisolibacter	1186	38	1658	4323	28	0	0	0	1	229	1	0	0	0	0	0	0	0	0	0	0	0	0	0	276	7740
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Aliidongia	528	41	3115	3566	8	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	7678
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Aquincola	154	38	2894	185	12	0	0	3	0	4079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	7586
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Isosphaerales;Isosphaeraceae;Paludisphaera	1186	121	2211	2665	40	0	0	4	0	1142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	7562
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Hyphomicrobium	913	240	2234	1706	19	0	0	0	0	2122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	7423
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Skermanella	1690	23	1389	2983	112	0	0	0	1	927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	7339
Bacteria;Bacteria_none;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Aciditerrimonas	1313	22	3431	2012	19	0	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	7233
Bacteria;Bacteria_none;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Pelobacter	431	838	3043	2405	12	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	7069
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Pararobbsia	1027	9	3215	2145	25	0	0	1	0	474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	7045
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	1447	56	3580	1293	10	0	0	1	1	462	0	0	1	1	0	0	0	0	0	1	0	0	0	0	182	7035
Bacteria;Bacteria_none;Kiritimatiellaeota;Tichowtungiia;Tichowtungiales;Tichowtungiaceae;Tichowtungia	55	6686	49	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	117	6917
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Georgfuchsia	1051	184	1911	715	53	0	0	1	0	2843	0	0	0	0	0	0	0	0	0	0	1	0	0	0	156	6915
Bacteria;Bacteria_none;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavihumibacter	54	2	6022	398	6	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	6908
Bacteria;Bacteria_none;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geomonas	612	399	4490	794	11	0	0	0	0	230	0	0	0	1	0	0	0	0	0	0	0	0	0	0	231	6768
Bacteria;Bacteria_none;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfocastanea	14	5848	690	27	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	6715
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Tumebacillus	6010	47	89	174	11	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	6636
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Hypericibacter	485	32	2858	2765	6	0	0	1	0	230	0	0	0	0	0	0	0	0	1	0	0	0	0	0	142	6520
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Cypionkella	55	2	5851	149	3	0	0	0	0	143	0	0	0	0	1	0	0	0	0	0	0	0	0	0	160	6364
Bacteria;Bacteria_none;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavisolibacter	2181	7	1872	1052	39	0	0	0	5	973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	6307
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Methylibium	383	44	3543	480	25	0	0	0	0	1630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	6272
